"TAX","GEO","TIME","UNIT","Value"
"Energy taxes","Malta","2010","Percentage of gross domestic product (GDP)","1,4"
"Energy taxes","Malta","2011","Million euro","107,35"
"Energy taxes","Malta","2011","Million units of national currency","107,35"
"Energy taxes","Malta","2011","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,7"
"Energy taxes","Malta","2011","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,88"
"Energy taxes","Malta","2011","Percentage of gross domestic product (GDP)","1,57"
"Energy taxes","Malta","2012","Million euro","108,44"
"Energy taxes","Malta","2012","Million units of national currency","108,44"
"Energy taxes","Malta","2012","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,49"
"Energy taxes","Malta","2012","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,67"
"Energy taxes","Malta","2012","Percentage of gross domestic product (GDP)","1,51"
"Energy taxes","Malta","2013","Million euro","107,56"
"Energy taxes","Malta","2013","Million units of national currency","107,56"
"Energy taxes","Malta","2013","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,17"
"Energy taxes","Malta","2013","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,31"
"Energy taxes","Malta","2013","Percentage of gross domestic product (GDP)","1,41"
"Energy taxes","Malta","2014","Million euro","128,61"
"Energy taxes","Malta","2014","Million units of national currency","128,61"
"Energy taxes","Malta","2014","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,51"
"Energy taxes","Malta","2014","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,66"
"Energy taxes","Malta","2014","Percentage of gross domestic product (GDP)","1,51"
"Energy taxes","Malta","2015","Million euro","139,23"
"Energy taxes","Malta","2015","Million units of national currency","139,23"
"Energy taxes","Malta","2015","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,56"
"Energy taxes","Malta","2015","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,7"
"Energy taxes","Malta","2015","Percentage of gross domestic product (GDP)","1,44"
"Energy taxes","Malta","2016","Million euro","145,02"
"Energy taxes","Malta","2016","Million units of national currency","145,02"
"Energy taxes","Malta","2016","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,36"
"Energy taxes","Malta","2016","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,49"
"Energy taxes","Malta","2016","Percentage of gross domestic product (GDP)","1,4"
"Energy taxes","Malta","2017","Million euro","154,05"
"Energy taxes","Malta","2017","Million units of national currency","154,05"
"Energy taxes","Malta","2017","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,15"
"Energy taxes","Malta","2017","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,27"
"Energy taxes","Malta","2017","Percentage of gross domestic product (GDP)","1,36"
"Energy taxes","Netherlands","1995","Million euro","5.245,44"
"Energy taxes","Netherlands","1995","Million units of national currency","4.996"
"Energy taxes","Netherlands","1995","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","3,95"
"Energy taxes","Netherlands","1995","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,07"
"Energy taxes","Netherlands","1995","Percentage of gross domestic product (GDP)","1,52"
"Energy taxes","Netherlands","1996","Million euro","5.699,46"
"Energy taxes","Netherlands","1996","Million units of national currency","5.534"
"Energy taxes","Netherlands","1996","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,18"
"Energy taxes","Netherlands","1996","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,3"
"Energy taxes","Netherlands","1996","Percentage of gross domestic product (GDP)","1,61"
"Energy taxes","Netherlands","1997","Million euro","6.264,83"
"Energy taxes","Netherlands","1997","Million units of national currency","6.285"
"Energy taxes","Netherlands","1997","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,52"
"Energy taxes","Netherlands","1997","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,64"
"Energy taxes","Netherlands","1997","Percentage of gross domestic product (GDP)","1,7"
"Energy taxes","Netherlands","1998","Million euro","6.564,47"
"Energy taxes","Netherlands","1998","Million units of national currency","6.612"
"Energy taxes","Netherlands","1998","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,51"
"Energy taxes","Netherlands","1998","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,64"
"Energy taxes","Netherlands","1998","Percentage of gross domestic product (GDP)","1,68"
"Energy taxes","Netherlands","1999","Million euro","7.271"
"Energy taxes","Netherlands","1999","Million units of national currency","7.271"
"Energy taxes","Netherlands","1999","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,55"
"Energy taxes","Netherlands","1999","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,66"
"Energy taxes","Netherlands","1999","Percentage of gross domestic product (GDP)","1,73"
"Energy taxes","Netherlands","2000","Million euro","7.745"
"Energy taxes","Netherlands","2000","Million units of national currency","7.745"
"Energy taxes","Netherlands","2000","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,55"
"Energy taxes","Netherlands","2000","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,66"
"Energy taxes","Netherlands","2000","Percentage of gross domestic product (GDP)","1,71"
"Energy taxes","Netherlands","2001","Million euro","8.225"
"Energy taxes","Netherlands","2001","Million units of national currency","8.225"
"Energy taxes","Netherlands","2001","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,7"
"Energy taxes","Netherlands","2001","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,81"
"Energy taxes","Netherlands","2001","Percentage of gross domestic product (GDP)","1,71"
"Energy taxes","Netherlands","2002","Million euro","8.341"
"Energy taxes","Netherlands","2002","Million units of national currency","8.341"
"Energy taxes","Netherlands","2002","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,64"
"Energy taxes","Netherlands","2002","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,75"
"Energy taxes","Netherlands","2002","Percentage of gross domestic product (GDP)","1,66"
"Energy taxes","Netherlands","2003","Million euro","8.711"
"Energy taxes","Netherlands","2003","Million units of national currency","8.711"
"Energy taxes","Netherlands","2003","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","4,77"
"Energy taxes","Netherlands","2003","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","4,88"
"Energy taxes","Netherlands","2003","Percentage of gross domestic product (GDP)","1,7"
"Energy taxes","Netherlands","2004","Million euro","9.445"
"Energy taxes","Netherlands","2004","Million units of national currency","9.445"
"Energy taxes","Netherlands","2004","Percentage of total revenues from taxes and social contributions (including imputed social contributions)","5,01"
"Energy taxes","Netherlands","2004","Percentage of total revenues from taxes and social contributions (excluding imputed social contributions)","5,13"
